adm_cd,sido,sigungu,eupmyeondong,beopjeongdong,pop,male_pop,female_pop,household,avg_household,area_km2,elder,elder_rate,foreigner,base_year_month,source,note,recent_disaster_date,disaster_type,damage_scale,damage_detail,disaster_type2,advisory_2024,warning_2024,extra,lat,lng
1111021000,서울특별시,종로구,이화동,이화동/연지동/충신동,4520,2220,2300,2350,0.65,6954,980,21.7,38,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/침수,주택침수 3동,"2022년 집중호우: 이화마을 언덕길 배수불량, 낙산공원 인근 침수",18,6,종로노인종합복지관; 이화경로당; 충신경로당,서울특별시 종로구 이화동 149번지 1호(수용:지하명)(345㎡); 서울특별시 종로구 연지동 1번지 1호(수용:지하명)(2354㎡); 서울특별시 종로구 연지동 136번지 74호(수용:지하명)(17586.85㎡); 서울특별시 종로구 연지동 263번지(수용:지하명)(2540㎡); 서울특별시 종로구 연지동 270번지(수용:지하명)(9166㎡); 서울특별시 종로구 연지동 1번지 7호(수용:지하명)(2102㎡),37.5789,126.9845
1111022000,서울특별시,종로구,혜화동,혜화동/명륜1가~4가/동숭동,8250,3980,4270,4320,0.95,8684,1780,21.6,72,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/도시침수,대학가 침수 4개소,"2022년 집중호우: 대학로·성균관대 인근 침수, 하수역류",18,6,혜화동주민센터; 명륜2.4가경로당; 혜명경로당; 유림경로당; 동숭경로당; 와룡경로당,서울특별시 종로구 명륜3가 53번지(수용:지하명)(3307.18㎡); 서울특별시 종로구 동숭동 169-1 한국방송통신대학(수용:지하명)(13159㎡); 서울특별시 종로구 혜화동 90번지 1호(수용:지하명)(747.77㎡); 서울특별시 종로구 혜화동 5번지 55호(수용:지하명)(825.75㎡); 서울특별시 종로구 명륜1가 46번지 7호(수용:지하명)(1938.46㎡); 서울특별시 종로구 명륜2가 21번지 1호(수용:지하명)(700.32㎡); 서울특별시 종로구 명륜2가 41번지 4호(수용:지하명)(574.88㎡); 서울특별시 종로구 명륜4가 188번지 10호(수용:지하명)(574.88㎡); 서울특별시 종로구 혜화동 90번지 18호(수용:지하명)(2754㎡); 서울특별시 종로구 명륜3가 53번지 21호(수용:지하명)(6814.83㎡); 서울특별시 종로구 명륜3가 1-1042 종로청소년문화센타(수용:지하명)(180.94㎡); 서울특별시 종로구 혜화동 1번지 21호(수용:지하명)(1474.75㎡),37.5823,126.9956
1111023000,서울특별시,종로구,창신1동,창신동,10250,5020,5230,5280,0.78,13141,2150,21.0,88,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/침수,주택침수 6동,"2022년 집중호우: 창신동 봉제공장 밀집지역 침수, 지봉로 침수",18,6,창신1동주민센터; 창신2동주민센터; 종로종합사회복지관; 창일경로당; 창이경로당; 당고개경로당; 창락경로당; 창인경로당; 창삼경로당,서울특별시 종로구 창신동 583번지 3호(수용:지하명)(255㎡); 서울특별시 종로구 창신동 578번지 5호(수용:지하명)(209㎡); 서울특별시 종로구 창신동 530번지 1호(수용:지하명)(132㎡); 서울특별시 종로구 창신동 222번지 8호(수용:지하명)(608㎡); 서울특별시 종로구 창신동 138번지 32호(수용:지하명)(627㎡); 서울특별시 종로구 창신동 13-80 서일문화예술고등학교(수용:지하명)(200㎡); 서울특별시 종로구 창신동 7번지 40호(수용:지하명)(6210㎡); 서울특별시 종로구 창신동 222번지 8호(수용:지하명)(6210㎡); 서울특별시 종로구 창신동 138번지 32호(수용:지하명)(627㎡); 서울특별시 종로구 창신동 7번지 40호(수용:지하명)(627㎡); 서울특별시 종로구 창신동 13-80 서일문화예술고등학교(수용:지하명)(200㎡); 서울특별시 종로구 창신동 20번지 8호(수용:지하명)(6210㎡); 서울특별시 종로구 창신동 327번지 2호(수용:지하명)(1875㎡); 서울특별시 종로구 창신동 328번지 18호(수용:지하명)(12325㎡); 서울특별시 종로구 창신동 232번지(수용:지하명)(14915㎡); 서울특별시 종로구 창신동 492번지 1호(수용:지하명)(5490㎡); 서울특별시 종로구 창신동 432번지(수용:지하명)(310㎡),37.5734,127.0012
1111024000,서울특별시,종로구,창신2동,창신동,8920,4380,4540,4580,0.68,13118,1890,21.2,75,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/침수,주택침수 4동,"2022년 집중호우: 창신길 일대 주택가 침수, 낙산공원 배수불량",18,6,해당 없음,해당 없음,37.5712,127.0056
1111025000,서울특별시,종로구,창신3동,창신동,7850,3850,4000,4020,0.62,12661,1680,21.4,68,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/침수,주택침수 3동,"2022년 집중호우: 창신동 고지대 배수불량, 낙산성곽길 인근",18,6,해당 없음,해당 없음,37.5698,127.0089
1111026000,서울특별시,종로구,숭인1동,숭인동,11280,5520,5760,5780,0.85,13271,2380,21.1,95,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/침수,주택침수 5동,"2022년 집중호우: 숭인동 주택가 침수, 동묘앞역 일대 침수",18,6,숭인1동주민센터; 숭인2동주민센터; 숭인2경로당; 동원경로당; 한마음경로당; 숭인상록경로당; 흥인경로당,서울특별시 종로구 숭인동 55-2 숭인제1동주민센터 지하2층(수용:지하명)(32㎡); 서울특별시 종로구 숭인동 117 동묘앞역 지하1층(수용:지하명)(5501㎡); 서울특별시 종로구 숭인동 204-11 숭인상가아파트(수용:지하명)(1122㎡); 서울특별시 종로구 숭인동 1390 서진빌딩(수용:지하명)(545㎡); 서울특별시 종로구 숭인동 200-26 진형빌딩(수용:지하명)(734㎡); 서울특별시 종로구 숭인동 316-3 6호선 동묘앞역(수용:지하명)(14001㎡); 서울특별시 종로구 숭인동 766 종로청계힐스테이트(수용:지하명)(12936㎡),37.5678,127.0123
1111027000,서울특별시,종로구,숭인2동,숭인동,8150,3980,4170,4180,0.72,11319,1720,21.1,68,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/침수,주택침수 3동,"2022년 집중호우: 숭인동 언덕길 배수불량, 숭인시장 침수",18,6,해당 없음,해당 없음,37.5656,127.0156
1111000000,서울특별시,종로구,종로구전체,종로구전체,160870,78540,82330,81200,21.06,7639,33800,21.0,1540,202412,행정안전부 주민등록인구통계,종로구 전체 합계,,,,,18회 (시단위),6회 (시단위),행정안전부 주민등록인구통계,종로구 전체 합계,37.5735,126.9792
2205051000,대구광역시,북구,고성동,고성동,14647,7280,7367,7230,0.87,10253,1850,20.7,85,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 8동,"2023년 7월 집중호우: 고성로 일대 침수, 신천 둔치 주차장 침수",22,8,고성동행정복지센터,대구광역시 북구 고성동3가 1번지 1호(수용:지하명)(3306㎡); 대구광역시 북구 고성동3가 138번지(수용:지하명)(1508㎡); 대구광역시 북구 고성동3가 103번지(수용:지하명)(1668㎡); 대구광역시 북구 고성동3가 145 오페라트루엘 시민의 숲(수용:지하명)(30482㎡),35.8822,128.5956
2205052000,대구광역시,북구,칠성동,칠성동,13708,6780,6928,6830,0.72,7727,920,21.6,87,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,시장침수 5개소,"2023년 7월 집중호우: 칠성시장 일대 침수, 신천 범람 위기",22,8,칠성동주민센터,대구광역시 북구 칠성동2가 127번지(수용:지하명)(5620㎡); 대구광역시 북구 칠성동2가 378번지 4호(수용:지하명)(4182㎡); 대구광역시 북구 칠성동2가 302번지 348호(수용:지하명)(6612㎡),35.8808,128.6023
2205055000,대구광역시,북구,침산1동,침산동,10520,5180,5340,5480,1.25,9148,1650,15.7,98,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,아파트지하침수 3개소,2023년 7월 집중호우: 침산동 아파트 단지 지하주차장 침수,22,8,침산1동행정복지센터,대구광역시 북구 침산동 447번지 16호(수용:지하명)(288㎡); 대구광역시 북구 침산동 447-2(수용:지하명)(922㎡); 대구광역시 북구 침산동 810번지 32호(수용:지하명)(2267㎡),35.9045,128.5856
2205056000,대구광역시,북구,침산2동,침산동,8940,4380,4560,4720,0.98,9122,1520,17.0,76,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 6동,2023년 7월 집중호우: 침산남로 일대 주택가 침수,22,8,침산2동행정복지센터,해당 없음,35.8887,128.5845
2205057000,대구광역시,북구,침산3동,침산동,7320,3580,3740,3890,0.87,8414,1280,17.5,65,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 4동,"2023년 7월 집중호우: 침산동 저층 주택가 침수, 배수펌프 가동",22,8,침산3동행정복지센터,해당 없음,35.9021,128.5892
2205081000,대구광역시,북구,노원동,노원동,5024,2480,2544,2550,1.25,5024,1150,18.3,42,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 5동,"2023년 7월 집중호우: 노원로 일대 주택가 침수, 오봉로 배수불량",22,8,노원동행정복지센터,대구광역시 북구 노원동3가 735번지 3호(수용:지하명)(1287㎡); 대구광역시 북구 노원동3가 1013번지(수용:지하명)(344㎡),35.8952,128.5743
2205061000,대구광역시,북구,산격1동,산격동,7669,3780,3889,3850,1.42,7669,1720,15.8,156,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,대학가 침수 7개소,"2023년 7월 집중호우: 경북대 인근 원룸촌 침수, 대학로 배수불량",22,8,산격1동행정복지센터,대구광역시 북구 산격동 724-12 산격주공아파트(수용:지하명)(755㎡); 대구광역시 북구 산격동 724-12 산격주공아파트(수용:지하명)(657㎡),35.8998,128.5934
2205062000,대구광역시,북구,산격2동,산격동,9650,4720,4930,5080,1.18,8178,1680,17.4,134,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 5동,"2023년 7월 집중호우: 산격동 주택가 침수, 연암로 일대 침수",22,8,산격2동행정복지센터,해당 없음,35.8865,128.5821
2205063000,대구광역시,북구,산격3동,산격동,8540,4180,4360,4490,1.05,8133,1490,17.4,112,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 4동,2023년 7월 집중호우: 산격동 서편 주택가 침수,22,8,해당 없음,해당 없음,35.8915,128.5889
2205064000,대구광역시,북구,산격4동,산격동,7920,3880,4040,4150,0.95,8337,1380,17.4,98,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 3동,2023년 7월 집중호우: 산격동 서편 주택가 침수,22,8,해당 없음,해당 없음,35.9078,128.5819
2205065000,대구광역시,북구,복현1동,복현동,8948,4420,4528,4530,1.35,8948,1980,16.4,210,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,원룸침수 8개소,"2023년 7월 집중호우: 복현동 원룸밀집지역 침수, 동북로 배수불량",22,8,복현1동행정복지센터,대구광역시 북구 복현동 340번지 32호(수용:지하명)(886㎡); 대구광역시 북구 복현동 76번지 1호(수용:지하명)(2003㎡),35.8875,128.6098
2205066000,대구광역시,북구,복현2동,복현동,9120,4480,4640,4780,1.02,8941,1650,18.1,145,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 4동,"2023년 7월 집중호우: 복현동 주택가 침수, 복현로 일대 침수",22,8,해당 없음,해당 없음,35.8902,128.6134
2205084000,대구광역시,북구,대현동,대현동,5527,2740,2787,2810,1.65,5527,1580,17.3,123,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 6동,"2023년 7월 집중호우: 대현동 대현로·대현남로 일대 침수, 신천 지류 범람",22,8,대현동행정복지센터,대구광역시 북구 대현동 270번지 7호(수용:지하명)(459㎡); 대구광역시 북구 대현동 25번지 13호(수용:지하명)(330㎡),35.8835,128.6178
2205070000,대구광역시,북구,검단동,검단동,368,180,188,185,12.45,368,980,21.4,28,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/산사태,산사태 2개소,"2023년 7월 집중호우: 검단로 일대 산사태, 팔거천 범람",22,8,검단동행정복지센터,대구광역시 북구 검단동 1128번지 3호(수용:지하명)(1294㎡); 대구광역시 북구 검단동 887번지 8호(수용:지하명)(992㎡),35.9125,128.5756
2205071000,대구광역시,북구,무태조야동,무태동/조야동,5640,2760,2880,2950,8.72,647,1120,19.9,35,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 4동,"2023년 7월 집중호우: 무태조야동 주택가 침수, 호국로 일대 배수불량",22,8,무태조야동행정복지센터,대구광역시 북구 동변동 679 대구동서변그린빌(수용:지하명)(2934㎡); 대구광역시 북구 동변동 697번지(수용:지하명)(641㎡),35.9189,128.5623
2205075000,대구광역시,북구,관문동,관문동,4980,2440,2540,2580,2.15,2316,890,17.9,42,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 3동,2023년 7월 집중호우: 관문동 매천로 일대 침수,22,8,관문동행정복지센터,대구광역시 북구 사수동 837번지(수용:지하명)(17427㎡),35.9254,128.5587
2205078000,대구광역시,북구,태전1동,태전동,5583,2740,2843,2850,2.35,5583,2150,16.4,187,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,아파트지하침수 4개소,2023년 7월 집중호우: 태전동 아파트 단지 지하주차장 침수,22,8,태전1동행정복지센터,대구광역시 북구 태전동 881번지 3호(수용:지하명)(5553㎡); 대구광역시 북구 태전동 254번지 3호(수용:지하명)(123㎡),35.9342,128.5678
2205074000,대구광역시,북구,태전2동,태전동,10850,5300,5550,5680,1.87,5802,1890,17.4,156,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 5동,"2023년 7월 집중호우: 태전동 주택가 침수, 칠곡중앙대로 일대 침수",22,8,해당 없음,해당 없음,35.9315,128.5721
2205079000,대구광역시,북구,구암동,구암동,5802,2880,2922,2950,3.25,2271,1280,17.3,68,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 4동,"2023년 7월 집중호우: 구암로 일대 주택가 침수, 구암서로 배수불량",22,8,구암동행정복지센터,대구광역시 북구 구암동 695-1 칠곡동서영남아파트(수용:지하명)(8929㎡); 대구광역시 북구 구암동 695-3 칠곡청구타운(수용:지하명)(7881㎡),35.9398,128.5789
2205077000,대구광역시,북구,관음동,관음동,3354,1650,1704,1720,2.85,3354,1580,16.5,89,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 6동,"2023년 7월 집중호우: 관음동 관음로 일대 침수, 신천 둔치 범람",22,8,관음동행정복지센터,대구광역시 북구 관음동 1374 칠곡서한맨션(수용:지하명)(1858㎡); 대구광역시 북구 관음동 1370 칠곡2차(수정)한양아파트(수용:지하명)(3364㎡),35.9287,128.5834
2205076000,대구광역시,북구,읍내동,읍내동,3916,1920,1996,2010,2.15,3916,1420,16.9,76,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 5동,2023년 7월 집중호우: 읍내동 칠곡중앙대로 일대 침수,22,8,읍내동행정복지센터,대구광역시 북구 읍내동 1060번지(수용:지하명)(483㎡); 대구광역시 북구 읍내동 1366-1 칠곡1차(공작)한양아파트(수용:지하명)(4550㎡),35.9456,128.5678
2205082000,대구광역시,북구,동천동,동천동,2065,1020,1045,1050,3.85,2065,1320,16.6,62,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/침수,주택침수 4동,"2023년 7월 집중호우: 동천동 대천로 일대 침수, 팔거천 수위상승",22,8,동천동행정복지센터,대구광역시 북구 동천동 880번지 1호(수용:지하명)(2047㎡); 대구광역시 북구 동천동 968번지(수용:지하명)(15765㎡),35.9387,128.5534
2205083000,대구광역시,북구,국우동,국우동,1152,560,592,600,5.45,1152,1150,18.3,45,202412,행정안전부 주민등록인구통계,,2023-07-17,호우/산사태,산사태 1개소,"2023년 7월 집중호우: 국우동 도남길 일대 산사태, 팔거천 제방 유실",22,8,국우동행정복지센터,대구광역시 북구 국우동 1110-3 칠곡현대아파트(수용:지하명)(7680㎡); 대구광역시 북구 국우동 118-4 힐스테이트 데시앙 도남1단지(수용:지하명)(11789㎡),35.9489,128.5412
2205000000,대구광역시,북구,북구전체,북구전체,413520,202450,211070,212410,71.68,5769,70450,17.0,4280,202412,행정안전부 주민등록인구통계,북구 전체 합계,,,,,22회 (시단위),8회 (시단위),행정안전부 주민등록인구통계,북구 전체 합계,35.91046923076924,128.57821153846152
37020110,경상북도,경주시,감포읍,감포읍,,,,,,,,,,,,,,,,,,,,,35.8035,129.5382
37020130,경상북도,경주시,건천읍,건천읍,,,,,,,,,,,,,,,,,,,,,35.7892,129.2456
37020120,경상북도,경주시,안강읍,안강읍,,,,,,,,,,,,,,,,,,,,,35.8875,129.2345
37020140,경상북도,경주시,외동읍,외동읍,,,,,,,,,,,,,,,,,,,,,35.7898,129.3567
3702037,경상북도,경주시,강동면,강동면,,,,,,,,,,,,,,,,,,,,,35.9345,129.1789
3702033,경상북도,경주시,내남면,내남면,,,,,,,,,,,,,,,,,,,,,35.8012,129.0876
37020340,경상북도,경주시,산내면,산내면,,,,,,,,,,,,,,,,,,,,,35.8567,128.9876
3702035,경상북도,경주시,서면,서면,,,,,,,,,,,,,,,,,,,,,35.8234,129.1456
3702032,경상북도,경주시,양남면,양남면,,,,,,,,,,,,,,,,,,,,,35.8012,129.4123
3702039,경상북도,경주시,문무대왕면,문무대왕면,,,,,,,,,,,,,,,,,,,,,35.7892,129.5123
3702038,경상북도,경주시,천북면,천북면,,,,,,,,,,,,,,,,,,,,,35.8456,129.2678
3702036,경상북도,경주시,현곡면,현곡면,,,,,,,,,,,,,,,,,,,,,35.8765,129.289
3702064,경상북도,경주시,동천동,동천동,,,,,,,,,,,,,,,,,,,,,35.8389,129.2101
3702067,경상북도,경주시,보덕동,보덕동,,,,,,,,,,,,,,,,,,,,,35.7901,129.3345
3702066,경상북도,경주시,불국동,불국동,,,,,,,,,,,,,,,,,,,,,35.7892,129.3345
3702059,경상북도,경주시,선도동,선도동,,,,,,,,,,,,,,,,,,,,,35.8567,129.2234
3702055,경상북도,경주시,성건동,성건동,,,,,,,,,,,,,,,,,,,,,35.8523,129.2189
3702062,경상북도,경주시,용강동,용강동,,,,,,,,,,,,,,,,,,,,,35.8401,129.2234
3702058,경상북도,경주시,월성동,월성동,,,,,,,,,,,,,,,,,,,,,35.8356,129.2145
3702069,경상북도,경주시,황남동,황남동,,,,,,,,,,,,,,,,,,,,,35.8367,129.2189
3702063,경상북도,경주시,황성동,황성동,,,,,,,,,,,,,,,,,,,,,35.8445,129.2123
3702068,경상북도,경주시,황오동,황오동,,,,,,,,,,,,,,,,,,,,,35.8389,129.2167
3702000000,경상북도,경주시,경주전체,경주전체,,,,,,,,,,,,,,,,,,,,,35.832786363636366,129.2574227272727
